Время,Координата,Сера
85.3151,712.121,200
85.3151,727.273,200
85.3151,742.424,200
85.3151,757.576,200
85.3151,772.727,200
85.3151,787.879,200
85.3151,803.03,200
85.3151,818.182,200
85.3151,833.333,200
85.3151,848.485,200
85.3151,863.636,200
85.3151,878.788,200
85.3151,893.939,200
85.3151,909.091,200
85.3151,924.242,200
85.3151,939.394,200
85.3151,954.545,200
85.3151,969.697,200
85.3151,984.848,200
85.3151,1000,200
85.3151,1015.15,200
85.3151,1030.3,200
85.3151,1045.45,200
85.3151,1060.61,200
85.3151,1075.76,200
85.3151,1090.91,200
85.3151,1106.06,200
85.3151,1121.21,200
85.3151,1136.36,200
85.3151,1151.52,200
85.3151,1166.67,200
85.3151,1181.82,200
85.3151,1196.97,200
85.3151,1212.12,200
85.3151,1227.27,200
85.3151,1242.42,200
85.3151,1257.58,200
85.3151,1272.73,200
85.3151,1287.88,200
85.3151,1303.03,200
85.3151,1318.18,200
85.3151,1333.33,200
85.3151,1348.48,200
85.3151,1363.64,200
85.3151,1378.79,200
85.3151,1393.94,200
85.3151,1409.09,200
85.3151,1424.24,200
85.3151,1439.39,200
85.3151,1454.55,200
85.3151,1469.7,200
85.3151,1484.85,200
85.3151,1500,200
95.9776,0,289
95.9776,15.1515,289
95.9776,30.303,289
95.9776,45.4545,289
95.9776,60.6061,289
95.9776,75.7576,289
95.9776,90.9091,289
95.9776,106.061,289
95.9776,121.212,289
95.9776,136.364,200
95.9776,151.515,200
95.9776,166.667,200
95.9776,181.818,200
95.9776,196.97,200
95.9776,212.121,200
95.9776,227.273,200
95.9776,242.424,200
95.9776,257.576,200
95.9776,272.727,200
95.9776,287.879,200
95.9776,303.03,200
95.9776,318.182,200
95.9776,333.333,200
95.9776,348.485,200
95.9776,363.636,200
95.9776,378.788,200
95.9776,393.939,200
95.9776,409.091,200
95.9776,424.242,200
95.9776,439.394,200
95.9776,454.545,200
95.9776,469.697,200
95.9776,484.848,200
95.9776,500,200
95.9776,515.152,200
95.9776,530.303,200
95.9776,545.455,200
95.9776,560.606,200
95.9776,575.758,200
95.9776,590.909,200
95.9776,606.061,200
95.9776,621.212,200
95.9776,636.364,200
95.9776,651.515,200
95.9776,666.667,200
95.9776,681.818,200
95.9776,696.97,200
95.9776,712.121,200
95.9776,727.273,200
95.9776,742.424,200
95.9776,757.576,200
95.9776,772.727,200
95.9776,787.879,200
95.9776,803.03,200
95.9776,818.182,200
95.9776,833.333,200
95.9776,848.485,200
95.9776,863.636,200
95.9776,878.788,200
95.9776,893.939,200
95.9776,909.091,200
95.9776,924.242,200
95.9776,939.394,200
95.9776,954.545,200
95.9776,969.697,200
95.9776,984.848,200
95.9776,1000,200
95.9776,1015.15,200
95.9776,1030.3,200
95.9776,1045.45,200
95.9776,1060.61,200
95.9776,1075.76,200
95.9776,1090.91,200
95.9776,1106.06,200
95.9776,1121.21,200
95.9776,1136.36,200
95.9776,1151.52,200
95.9776,1166.67,200
95.9776,1181.82,200
95.9776,1196.97,200
95.9776,1212.12,200
95.9776,1227.27,200
95.9776,1242.42,200
95.9776,1257.58,200
95.9776,1272.73,200
95.9776,1287.88,200
95.9776,1303.03,200
95.9776,1318.18,200
95.9776,1333.33,200
95.9776,1348.48,200
95.9776,1363.64,200
95.9776,1378.79,200
95.9776,1393.94,200
95.9776,1409.09,200
95.9776,1424.24,200
95.9776,1439.39,200
95.9776,1454.55,200
95.9776,1469.7,200
95.9776,1484.85,200
95.9776,1500,200
106.64,0,289
106.64,15.1515,289
106.64,30.303,289
106.64,45.4545,289
106.64,60.6061,289
106.64,75.7576,289
106.64,90.9091,289
106.64,106.061,289
106.64,121.212,289
106.64,136.364,289
106.64,151.515,200
106.64,166.667,200
106.64,181.818,200
106.64,196.97,200
106.64,212.121,200
106.64,227.273,200
106.64,242.424,200
106.64,257.576,200
106.64,272.727,200
106.64,287.879,200
106.64,303.03,200
106.64,318.182,200
106.64,333.333,200
106.64,348.485,200
106.64,363.636,200
106.64,378.788,200
106.64,393.939,200
106.64,409.091,200
106.64,424.242,200
106.64,439.394,200
106.64,454.545,200
106.64,469.697,200
106.64,484.848,200
106.64,500,200
106.64,515.152,200
106.64,530.303,200
106.64,545.455,200
106.64,560.606,200
106.64,575.758,200
106.64,590.909,200
106.64,606.061,200
106.64,621.212,200
106.64,636.364,200
106.64,651.515,200
106.64,666.667,200
106.64,681.818,200
106.64,696.97,200
106.64,712.121,200
106.64,727.273,200
106.64,742.424,200
106.64,757.576,200
106.64,772.727,200
106.64,787.879,200
106.64,803.03,200
106.64,818.182,200
106.64,833.333,200
106.64,848.485,200
106.64,863.636,200
106.64,878.788,200
106.64,893.939,200
106.64,909.091,200
106.64,924.242,200
106.64,939.394,200
106.64,954.545,200
106.64,969.697,200
106.64,984.848,200
106.64,1000,200
106.64,1015.15,200
106.64,1030.3,200
106.64,1045.45,200
106.64,1060.61,200
106.64,1075.76,200
106.64,1090.91,200
106.64,1106.06,200
106.64,1121.21,200
106.64,1136.36,200
106.64,1151.52,200
106.64,1166.67,200
106.64,1181.82,200
106.64,1196.97,200
106.64,1212.12,200
106.64,1227.27,200
106.64,1242.42,200
106.64,1257.58,200
106.64,1272.73,200
106.64,1287.88,200
106.64,1303.03,200
106.64,1318.18,200
106.64,1333.33,200
106.64,1348.48,200
106.64,1363.64,200
106.64,1378.79,200
106.64,1393.94,200
106.64,1409.09,200
106.64,1424.24,200
106.64,1439.39,200
106.64,1454.55,200
106.64,1469.7,200
106.64,1484.85,200
106.64,1500,200
117.303,0,289
117.303,15.1515,289
117.303,30.303,289
117.303,45.4545,289
117.303,60.6061,289
117.303,75.7576,289
117.303,90.9091,289
117.303,106.061,289
117.303,121.212,289
117.303,136.364,289
117.303,151.515,289
117.303,166.667,200
117.303,181.818,200
117.303,196.97,200
117.303,212.121,200
117.303,227.273,200
117.303,242.424,200
117.303,257.576,200
117.303,272.727,200
117.303,287.879,200
117.303,303.03,200
117.303,318.182,200
117.303,333.333,200
117.303,348.485,200
117.303,363.636,200
117.303,378.788,200
117.303,393.939,200
117.303,409.091,200
117.303,424.242,200
117.303,439.394,200
117.303,454.545,200
117.303,469.697,200
117.303,484.848,200
117.303,500,200
117.303,515.152,200
117.303,530.303,200
117.303,545.455,200
117.303,560.606,200
117.303,575.758,200
117.303,590.909,200
117.303,606.061,200
117.303,621.212,200
117.303,636.364,200
117.303,651.515,200
117.303,666.667,200
117.303,681.818,200
117.303,696.97,200
117.303,712.121,200
117.303,727.273,200
117.303,742.424,200
117.303,757.576,200
117.303,772.727,200
117.303,787.879,200
117.303,803.03,200
117.303,818.182,200
